sku,metadata.bundled_items.BU-FTSH-1,metadata.bundled_items.BU-FTPA-1,metadata.bundled_items.BU-TANO-1,metadata.bundled_items.BU-TABO-1,metadata.bundled_items.BU-TAFL-1,metadata.bundled_items.BU-FTPA-2,metadata.bundled_items.BU-FTPA-3,metadata.bundled_items.BU-FTPA-4,metadata.bundled_items.BU-FTPA-5,metadata.bundled_items.BU-FTSH-2,metadata.bundled_items.BU-FTSH-3,metadata.bundled_items.BU-FTSH-4,metadata.bundled_items.BU-FTSH-5,metadata.bundled_items.BU-FTSH-6,metadata.bundled_items.BU-FTPA-6
TAIL-1,1,1,1,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
TAIL-2,1,undefined,1,1,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
TAIL-3,1,undefined,1,1,1,undefined,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
TAIL-4,1,undefined,1,1,1,undefined,undefined,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined
TAIL-5,1,undefined,1,1,1,undefined,undefined,undefined,1,undefined,undefined,undefined,undefined,undefined,undefined
TAIL-6,undefined,1,1,1,1,undefined,undefined,undefined,undefined,1,undefined,undefined,undefined,undefined,undefined
TAIL-7,undefined,undefined,1,1,1,1,undefined,undefined,undefined,1,undefined,undefined,undefined,undefined,undefined
TAIL-8,undefined,undefined,1,1,1,undefined,1,undefined,undefined,1,undefined,undefined,undefined,undefined,undefined
TAIL-9,undefined,undefined,1,1,1,undefined,undefined,1,undefined,1,undefined,undefined,undefined,undefined,undefined
TAIL-10,undefined,undefined,1,1,1,undefined,undefined,undefined,1,1,undefined,undefined,undefined,undefined,undefined
TAIL-11,undefined,1,1,1,1,undefined,undefined,undefined,undefined,undefined,1,undefined,undefined,undefined,undefined
TAIL-12,undefined,undefined,1,1,1,1,undefined,undefined,undefined,undefined,1,undefined,undefined,undefined,undefined
TAIL-13,undefined,undefined,1,1,1,undefined,1,undefined,undefined,undefined,1,undefined,undefined,undefined,undefined
TAIL-14,undefined,undefined,1,1,1,undefined,undefined,1,undefined,undefined,1,undefined,undefined,undefined,undefined
TAIL-15,undefined,undefined,1,1,1,undefined,undefined,undefined,1,undefined,1,undefined,undefined,undefined,undefined
TAIL-16,undefined,1,1,1,1,undefined,undefined,undefined,undefined,undefined,undefined,1,undefined,undefined,undefined
TAIL-17,undefined,undefined,1,1,1,1,undefined,undefined,undefined,undefined,undefined,1,undefined,undefined,undefined
TAIL-18,undefined,undefined,1,1,1,undefined,1,undefined,undefined,undefined,undefined,1,undefined,undefined,undefined
TAIL-19,undefined,undefined,1,1,1,undefined,undefined,1,undefined,undefined,undefined,1,undefined,undefined,undefined
TAIL-20,undefined,undefined,1,1,1,undefined,undefined,undefined,1,undefined,undefined,1,undefined,undefined,undefined
TAIL-21,undefined,1,1,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,undefined,undefined
TAIL-22,undefined,undefined,1,1,1,1,undefined,undefined,undefined,undefined,undefined,undefined,1,undefined,undefined
TAIL-23,undefined,undefined,1,1,1,undefined,1,undefined,undefined,undefined,undefined,undefined,1,undefined,undefined
TAIL-24,undefined,undefined,1,1,1,undefined,undefined,1,undefined,undefined,undefined,undefined,1,undefined,undefined
TAIL-25,undefined,undefined,1,1,1,undefined,undefined,undefined,1,undefined,undefined,undefined,1,undefined,undefined
TAIL-26,undefined,1,1,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,undefined
TAIL-27,undefined,undefined,1,1,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,undefined
TAIL-28,undefined,undefined,1,1,1,undefined,1,undefined,undefined,undefined,undefined,undefined,undefined,1,undefined
TAIL-29,undefined,undefined,1,1,1,undefined,undefined,1,undefined,undefined,undefined,undefined,undefined,1,undefined
TAIL-30,undefined,undefined,1,1,1,undefined,undefined,undefined,1,undefined,undefined,undefined,undefined,1,undefined
TAIL-31,undefined,undefined,1,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1,1
TAIL-32,1,undefined,1,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1
TAIL-33,undefined,undefined,1,1,1,undefined,undefined,undefined,undefined,1,undefined,undefined,undefined,undefined,1
TAIL-34,undefined,undefined,1,1,1,undefined,undefined,undefined,undefined,undefined,1,undefined,undefined,undefined,1
TAIL-35,undefined,undefined,1,1,1,undefined,undefined,undefined,undefined,undefined,undefined,1,undefined,undefined,1